"Emp_ID","Emp_fname","Emp_lname","Emp_username","Emp_password","Emp_gender","Emp_birthdate","Emp_salary","Emp_email","Emp_mobile","Emp_position","Branch_ID"
"1","Lydia","Gilmore","Jarrod185","DU3ZO4MJJHY8R32","0","1991-04-27","2223","oqzue.aakbzw@opaxam.com","831-311-8635","Manager","461"
"2","Julia","Arias","Derrick1","4YCIIU","1","2001-12-13","2117","onachpgt.cgjkuuaki@desahf.net","920-7638653","Marketing","69"
"3","Chester","Osborne","Lance715","5YKL6DSO83P21O4IXA1","1","1965-11-27","5751","zxiaqkge.lurfutqf@gxqes.jhh-zi.com","022-109-6993","Sales","965"
"4","Darla","Preston","Tammy44","ONUNNRS24537I8X03IG5RSP42007ZFF8","0","1980-04-23","4695","whufs.qebxbdy@kcbc.afdhk-.net","571-371-1950","Trainer","398"
"5","Danny","Diaz","Julia","HXI3XYELPK20IJSQ3FEUVLWXQLM","0","1997-11-01","2519","ujck.mylmegqs@qblwiq.net","657649-9275","Janitor","667"
"6","Elton","Cherry","Alice26","K2PQVQ1AFX6K1","1","1974-03-27","2309","hyubqxh.ujsuqe@-zpxvc.com","870151-2018","Reception","763"
"7","Austin","Munoz","Chanda379","27M4JH8HW00DKW1LDCBN0M","1","1954-04-03","3257","xqhob.mvcaolhne@vjwlay.xhrgjl.net","159-111-1884","Manager","766"
"8","Cristina","Atkins","Emma4","C4RIHB6","0","1984-12-18","1468","jtgakn295@oslksfhzu.qirdel.org","006399-1474","Janitor","420"
"9","Kendall","Delgado","Jamal","UTBIOAL15I26PQI559TJT9DJFCAZRYQ6QR6J9D","1","1992-08-27","5487","qfcbog@ermlvw.ofwrgm.com","530-335-6681","Accounting","42"
"10","Gavin","Everett","Robert02","ARA64YG6MMMD8HMFKFR2C0M96SWFXJYVR","1","1967-10-09","4223","hqqtjb.oxxymeffxc@czdnvv.com","376245-2641","Manager","761"
"11","Valerie","Johnson","Evelyn","ISJ3","0","2001-05-16","4363","itjspmg.btnlqxn@wj-qtd.net","646-8767522","Reception","668"
"12","Cary","Cross","Edward042","LZ6OD5LHP3CL4IA0A51ZB2082NQLBYTVH5535","1","1978-10-29","2293","lilcx.msuofiz@rwhfjm.org","707371-1793","Janitor","464"
"13","Lisa","Moses","Jo","83LB7CLYTDHW8NI3XJYYLPFZ6Q9G3YC6UY","1","1983-12-16","2331","qxyfg.eyyb@kceayy.org","783-296-5004","Accounting","440"
"14","Joe","Bartlett","Marlene5","XD0UO","0","1994-07-30","2544","spwm@ngygul.net","713-195-9245","Reception","702"
"15","Vicki","Jacobson","Herman6","4UD4EQ6DD8M57QIOL4G","1","1978-04-10","1816","ggbvjg@gtcekoy.yhbtur.org","082-8188442","Accounting","141"
"16","Eric","Mays","Stacie","5UV0A29QLPWO9BHV2VS033QQQ1N8D8SWEMG9YCTCGFSNBYVV","1","1968-08-04","5638","krdqjze.sxhpl@late.jwjhcm.com","366948-7387","Manager","536"
"17","Elias","Carter","Emma","NMQCFY245A9F1DCX09NU7WP2FKOA2ER6RZQM2J","0","1990-02-08","1569","mljtbv.kbgpm@rrbmd.huxxoa.net","940-770-5372","Trainer","503"
"18","Sophia","Yu","Dominick","N","1","1971-01-07","5862","ifmme55@lbaymo.org","742-2665986","Manager","357"
"19","Allison","Rasmussen","Clayton062","5T2KWF1FQBO701QWOWVAR2QI3N1NQV","1","2003-12-28","939","esqcanie.vluycbv@h-kcdl.net","5203495652","Sales","452"
"20","Michele","Kirk","Claudia","AZG23NHJ4MVC33YQYZQDN3DM32J","1","1959-09-11","3496","bgvlj696@yvdqbsc.n-zcrm.net","666-3153846","Janitor","17"
"21","Betsy","Chen","Natalie48","8EEPUUE8KYN96DQOWPNF5X3NZHT","1","1993-05-31","5612","tpmqexgy.mdticjsjdm@blizba.org","793-330-2469","Accounting","346"
"22","Joey","Taylor","Wendy459","LTZ030AQ75H8OP6ZCG79CPQDF4CBARPC18MQZM5520","1","2003-09-18","2046","swjaw520@v-fzbf.net","514-825-4751","Reception","847"
